artist,title,total_streams,bot_streams,flagged_days,total_days,max_spike_ratio,avg_rolling_cv,drop_after_spike_count,bot_pct,confidence,flag_reasons,note
Post Malone,Motley Crew,23887692.0,0.0,0,6,0.9951308080578238,0.12202352957907803,0.0,0.0,3.0,—,
Post Malone,Myself,33232692.0,0.0,0,37,1.0109677005072883,0.2130291584428782,0.0,0.0,3.0,—,
Post Malone,No Option,4589769.0,0.0,0,22,1.2404175473653154,0.07691599947856483,0.0,0.0,3.7,—,
Post Malone,On The Road (feat. Meek Mill & Lil Baby),98588872.0,0.0,0,88,1.0842718493962742,0.1343827181975374,0.0,0.0,3.3,—,
Post Malone,Otherside,58674130.0,0.0,0,53,1.518718924219025,0.22738819644097857,0.0,0.0,4.6,—,
Post Malone,Over Now,103721963.0,0.0,0,92,1.0562636359223492,0.11943617798647813,0.0,0.0,3.2,—,
Post Malone,Paranoid,190769547.0,0.0,0,135,1.1515840661997814,0.10803100216871481,0.0,0.0,3.5,—,"🚀 Release-window ramp — likely legitimate launch, not fraud"
Post Malone,Psycho (feat. Ty Dolla $ign),1276897059.0,49081328.0,6,605,1.847667589422286,0.08031829945352746,0.0,3.8,5.9,"seasonal_spike, plateau_low_variance",
Post Malone,Rich & Sad,142910080.0,0.0,0,142,1.2635889969810767,0.1035600966377048,0.0,0.0,3.8,—,"🚀 Release-window ramp — likely legitimate launch, not fraud"
Post Malone,Saint-Tropez,214944283.0,0.0,0,109,1.2458642249656442,0.13452690153730087,0.0,0.0,3.7,—,"🚀 Release-window ramp — likely legitimate launch, not fraud"
Post Malone,Same Bitches (feat. G-Eazy & YG),86144277.0,0.0,0,73,1.0217756784529801,0.13434188922371063,0.0,0.0,3.1,—,
Post Malone,Spoil My Night (feat. Swae Lee),152492001.0,0.0,0,118,2.2587635342809596,0.15375216479333778,0.0,0.0,6.8,—,
Post Malone,Staring At The Sun (feat. SZA),46864352.0,0.0,0,45,1.1778579768984596,0.23997479082191195,0.0,0.0,3.5,—,
Post Malone,Stay,160695145.0,0.0,0,177,1.6374448724917259,0.11677701447311484,0.0,0.0,4.9,—,"🚀 Release-window ramp — likely legitimate launch, not fraud"
Post Malone,Sugar Wraith,47981487.0,0.0,0,51,1.028391507420918,0.16625216022684278,0.0,0.0,3.1,—,
Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),305152891.0,0.0,0,227,2.8284880447128704,0.1194494949211708,1.0,0.0,8.6,—,
