artist,total_streams,bot_streams,flagged_days,total_days,years_active,max_spike_ratio,drop_events,bot_pct,confidence,flag_reasons,note,holiday_flag_share
Lenny Tavárez,1601871835.0,0.0,0,1592,4,1.3092581294142418,0.0,0.0,3.9,—,,0.0
Lewis Capaldi,2817652734.0,0.0,0,1400,3,1.465539187730097,0.0,0.0,4.4,—,,0.0
Liam Payne,667874730.0,0.0,0,431,4,1.2979190971388965,0.0,0.0,3.9,—,,0.0
Like Mike,218549172.0,0.0,0,270,2,1.1752847731927407,0.0,0.0,3.5,—,,0.0
Lil Baby,2723011235.0,3558178.0,4,3469,4,3.713236271866415,0.0,0.1,11.2,"velocity_spike, seasonal_spike",,0.0
Lil Dicky,460570898.0,0.0,0,239,2,1.6798580139025305,0.0,0.0,5.0,—,,0.0
Lil Durk,32357882.0,0.0,0,113,3,1.279038602767018,0.0,0.0,3.8,—,,0.0
Lil Mosey,1367327308.0,0.0,0,1205,4,2.626818618002417,0.0,0.0,7.9,—,,0.0
Lil Nas X,2703148696.0,27985182.0,8,1282,3,2.6767408608107575,1.0,1.0,8.3,"velocity_spike, seasonal_spike, plateau_low_variance",,0.0
Lil Peep,464143632.0,1742080.0,2,367,4,2.400015764676021,0.0,0.4,3.0,—,⚠️ Death/tribute spike detected — results may be inflated,0.0
Lil Pump,682508433.0,0.0,0,593,4,3.115029506891337,1.0,0.0,9.4,—,,0.0
Lil Skies,718667152.0,897924.0,1,1793,3,2.637031983459909,4.0,0.1,8.0,"velocity_spike, seasonal_spike, drop_after_spike",,0.0
Lil Tecca,1423735656.0,0.0,0,1177,3,4.048556465698476,0.0,0.0,12.1,—,,0.0
Lil Tjay,242444378.0,2085509.0,2,520,3,2.385371451379534,0.0,0.9,7.3,"seasonal_spike, velocity_spike",,0.0
Lil Uzi Vert,3549501250.0,43878325.0,17,5053,5,3.18744983543256,5.0,1.2,9.7,"seasonal_spike, plateau_low_variance, velocity_spike",,0.06
Lil Wayne,862620872.0,55097988.0,15,862,4,1.621280810312386,0.0,6.4,5.6,seasonal_spike,,0.0
Lil Yachty,233013844.0,5124912.0,4,561,4,2.816323949164042,2.0,2.2,8.8,"seasonal_spike, velocity_spike, drop_after_spike",,0.0
Linkin Park,150935822.0,5135081.0,4,194,3,2.918068873224308,0.0,3.4,9.6,"velocity_spike, seasonal_spike",,0.0
Little Mix,381830460.0,0.0,0,413,4,1.4508764162375956,0.0,0.0,4.4,—,,0.0
Lizzo,1349872044.0,7461775.0,5,1098,3,2.5385154283167313,0.0,0.6,7.8,seasonal_spike,,0.0
Logic,1384274296.0,11780110.0,8,1607,4,3.7007100057994387,3.0,0.9,11.4,"seasonal_spike, velocity_spike",,0.0
London On Da Track,63908145.0,0.0,0,108,2,1.1862881166679682,0.0,0.0,3.6,—,,0.0
Lord Huron,143819380.0,0.0,0,158,3,1.3402642497317174,0.0,0.0,4.0,—,,0.0
Lorde,272418942.0,1484996.0,2,250,2,2.370616093132469,0.0,0.5,7.4,—,,0.0
Loud Luxury,565774432.0,0.0,0,464,2,1.8132815203314583,0.0,0.0,5.4,—,,0.0
Louis Tomlinson,332041579.0,0.0,0,216,2,1.2099158493584996,0.0,0.0,3.6,—,,0.0
Luis Fonsi,2256101481.0,80090002.0,13,1013,4,2.9099612624821134,0.0,3.5,9.2,"seasonal_spike, plateau_low_variance, velocity_spike",,0.0
Lukas Graham,332237333.0,0.0,0,394,3,1.272162890769146,0.0,0.0,3.8,—,,0.0
