artist,total_streams,bot_streams,flagged_days,total_days,years_active,debut_year,bot_pct
Polo G,1004876330.0,77745428.0,53.0,2502,3,2019,7.7
Pop Smoke,1048400113.0,14951791.0,24.0,2742,2,2020,1.4
Portugal. The Man,129373653.0,1733153.0,6.0,330,5,2017,1.3
Post Malone,4879202943.0,812123120.0,501.0,10394,5,2017,16.6
"Post Malone, 21 Savage",336781768.0,137593312.0,58.0,223,2,2017,40.9
"Post Malone, Justin Bieber",22834637.0,0.0,0.0,116,2,2017,0.0
"Post Malone, Quavo",533747086.0,9335873.0,8.0,1176,5,2017,1.7
"Post Malone, Swae Lee",778289864.0,94753802.0,55.0,1166,4,2018,12.2
"Powfu, beabadoobee",200131478.0,362828.0,1.0,477,2,2020,0.2
Quality Control,133623017.0,0.0,0.0,346,2,2019,0.0
"Quality Control, Quavo, Lil Yachty",25105342.0,593052.0,3.0,94,2,2017,2.4
Quavo,91487128.0,3666944.0,14.0,260,2,2018,4.0
Queen,218677180.0,2698532.0,6.0,794,5,2017,1.2
Rae Sremmurd,176614103.0,0.0,0.0,517,2,2017,0.0
"Rae Sremmurd, Swae Lee, Slim Jxmmi",151164760.0,2386193.0,5.0,378,2,2018,1.6
Rich The Kid,407089662.0,7828167.0,9.0,1003,4,2017,1.9
Ricky Montgomery,59457861.0,1128873.0,7.0,254,2,2020,1.9
Rihanna,101651421.0,1251163.0,3.0,396,4,2017,1.2
Rita Ora,56106708.0,279138.0,5.0,225,2,2017,0.5
Ritt Momney,98822120.0,840680.0,3.0,276,2,2020,0.9
Rod Wave,209133965.0,3756863.0,12.0,624,3,2019,1.8
Roddy Ricch,861692259.0,233863331.0,107.0,1573,3,2019,27.1
Russ,254532933.0,679211.0,8.0,1087,5,2017,0.3
Russell Dickerson,30852830.0,0.0,0.0,144,2,2017,0.0
SAINt JHN,201140635.0,5666900.0,13.0,431,2,2020,2.8
SHAED,50116707.0,2332035.0,6.0,143,3,2018,4.7
SZA,426658317.0,18936303.0,26.0,1080,4,2017,4.4
"SZA, The Neptunes, Pharrell Williams, Ty Dolla $ign",28213620.0,728457.0,1.0,109,2,2020,2.6
Sabrina Carpenter,37250275.0,558284.0,3.0,166,2,2017,1.5
Sam Hunt,268584037.0,1606390.0,9.0,753,5,2017,0.6
Sam Smith,514524157.0,16422000.0,32.0,1232,5,2017,3.2
Saweetie,229606875.0,854427.0,3.0,599,3,2019,0.4
ScHoolboy Q,100578134.0,3292181.0,5.0,285,2,2018,3.3
Selena Gomez,392363876.0,25761179.0,20.0,909,5,2017,6.6
"Selena Gomez, Marshmello",99738278.0,2258534.0,2.0,211,2,2017,2.3
Shakira,27494653.0,392871.0,1.0,116,3,2017,1.4
Shawn Mendes,513093592.0,13692046.0,18.0,1410,5,2017,2.7
"Shawn Mendes, Camila Cabello",235038904.0,20538560.0,12.0,399,2,2019,8.7
Sheck Wes,289458380.0,1973712.0,3.0,420,3,2018,0.7
Shelley FKA DRAM,127555109.0,0.0,0.0,424,2,2017,0.0
Sia,42834621.0,7718936.0,13.0,141,5,2017,18.0
"Sia, Diplo, Labrinth, LSD",39793812.0,454635.0,4.0,136,2,2018,1.1
Ski Mask The Slump God,224150340.0,396325.0,3.0,669,4,2018,0.2
Smokepurpp,56475103.0,0.0,0.0,240,3,2017,0.0
Social House,56569854.0,206799.0,2.0,219,2,2018,0.4
StaySolidRocky,125462973.0,608614.0,1.0,238,2,2020,0.5
Summer Walker,88777433.0,2817651.0,12.0,312,3,2019,3.2
Surfaces,177139181.0,2571563.0,9.0,416,2,2020,1.5
"THE SCOTTS, Travis Scott, Kid Cudi",144448400.0,20108124.0,9.0,236,2,2020,13.9
TOKYO’S REVENGE,48703926.0,967987.0,4.0,135,2,2019,2.0
TOTO,41999651.0,0.0,0.0,192,3,2018,0.0
Tame Impala,199442634.0,2640225.0,12.0,831,3,2019,1.3
Tate McRae,172070696.0,981440.0,3.0,495,2,2020,0.6
Tay-K,67416511.0,785817.0,4.0,220,2,2017,1.2
Taylor Swift,1753572324.0,306583158.0,249.0,3930,5,2017,17.5
"Taylor Swift, Ed Sheeran, Future",34474751.0,0.0,0.0,91,2,2017,0.0
Tee Grizzley,152898724.0,381156.0,2.0,677,3,2017,0.2
The Chainsmokers,369001362.0,8153118.0,9.0,1018,3,2017,2.2
"The Chainsmokers, Coldplay",155078945.0,7453035.0,6.0,360,2,2017,4.8
"The Chainsmokers, Halsey",172082586.0,772693.0,2.0,537,5,2017,0.4
"The Chainsmokers, Kelsea Ballerini",45511504.0,0.0,0.0,170,2,2018,0.0
The Jackson 5,76278870.0,17831977.0,21.0,171,5,2017,23.4
The Kid LAROI,638906754.0,137044779.0,81.0,1275,2,2020,21.4
The Killers,129461889.0,407790.0,3.0,524,5,2017,0.3
The Neighbourhood,329567502.0,0.0,0.0,958,2,2020,0.0
The Ronettes,76932040.0,21027353.0,25.0,150,5,2017,27.3
The Weeknd,1726133289.0,144986669.0,112.0,3954,5,2017,8.4
"The Weeknd, Daft Punk",282574535.0,2389827.0,6.0,785,5,2017,0.8
Thomas Rhett,171244664.0,2957477.0,18.0,669,5,2017,1.7
"Thomas Rhett, Maren Morris",43377441.0,360989.0,1.0,192,2,2017,0.8
"Tiësto, Dzeko, Preme, Post Malone",86172782.0,0.0,0.0,197,2,2018,0.0
Tones And I,266580857.0,1920691.0,5.0,580,3,2019,0.7
Tory Lanez,167533318.0,2947422.0,13.0,614,4,2017,1.8
Travis Scott,2424823615.0,367778541.0,262.0,5860,5,2017,15.2
"Travis Scott, Young Thug",61332084.0,0.0,0.0,128,2,2019,0.0
Trevor Daniel,239166065.0,2905983.0,5.0,475,3,2019,1.2
Trippie Redd,527341876.0,15569636.0,22.0,1668,5,2017,3.0
"Trippie Redd, DaBaby",40904898.0,0.0,0.0,104,2,2019,0.0
"Trippie Redd, Juice WRLD",50032271.0,833139.0,2.0,147,3,2018,1.7
"Trippie Redd, Juice WRLD, YNW Melly",32382528.0,0.0,0.0,90,2,2019,0.0
Twenty One Pilots,200175024.0,6585884.0,13.0,797,5,2017,3.3
Ty Dolla $ign,73466916.0,2400266.0,11.0,288,5,2017,3.3
Tyga,340426548.0,9775435.0,14.0,703,3,2018,2.9
"Tyler, The Creator",475796679.0,40278717.0,40.0,1332,5,2017,8.5
Vince Guaraldi Trio,75190035.0,19396361.0,27.0,184,5,2017,25.8
WILLOW,110934784.0,401488.0,3.0,367,3,2019,0.4
Wale,30036438.0,328607.0,2.0,145,3,2017,1.1
Walker Hayes,84651180.0,0.0,0.0,208,3,2017,0.0
Wallows,114593142.0,0.0,0.0,419,2,2020,0.0
Wham!,140348303.0,31836506.0,28.0,226,5,2017,22.7
Wiz Khalifa,73381501.0,1543419.0,7.0,230,3,2017,2.1
XXXTENTACION,3394674652.0,303089402.0,237.0,8755,5,2017,8.9
