artist,genre_category
Black Pistol Fire,Rock / Alternative
Black Rebel Motorcycle Club,Other
Black Rob,Hip Hop / Rap
Black Sabbath,Rock / Alternative
Blackstreet,Other
Blake Neely,Other
Blake Shelton,Country
Blasterjaxx,Other
BlocBoy JB,Other
Blood Orange,Pop
Bloodhound Gang,Other
Blu Cantrell,Other
Blue Foundation,Other
Blue Man,Other
Blue Öyster Cult,Rock / Alternative
Blur,Pop
Blxst,Other
Bo Burnham,Other
Bo Diddley,Other
Bob Dylan,Rock / Alternative
Bobby Shmurda,Other
Bon Iver,Other
Bon Jovi,Rock / Alternative
Bonalt & Hadi,Other
Bone Thugs-N-Harmony,Hip Hop / Rap
Boney M.,Other
Bonnie Tyler,Other
Booker T. & the M.G.'s,Other
Borislav Slavov,Other
Boston,Rock / Alternative
Boy Harsher,Other
Boys Noize,EDM / Electronic
Boyshegz,Other
Boyz N Da Hood,Hip Hop / Rap
Brad Breeck,Other
Brad Paisley,Country
Brantley Gilbert,Country
Breakfast For Joey,Other
Breaking Benjamin,Rock / Alternative
Brent Faiyaz,R&B / Soul
Brett Eldredge,Country
Brian Eno,Other
Brian Tyler,Other
Bridgit Mendler,Other
Briezman,Other
Bring Me The Horizon,Rock / Alternative
Britney Manson,Other
Britney Spears,Pop
Broken Bells,Other
Bronski Beat,Pop
Brooke Star,Other
Brooks & Dunn,Country
Brothers Osborne,Country
Bruce Springsteen,Other
Bruklin,Other
Bruno Chosen,Other
Bruno Mars,Other
Bryan Adams,Other
Bryce Fox,Other
Bryson Tiller,Hip Hop / Rap
Buddy Miles,Rock / Alternative
Busta Rhymes,Hip Hop / Rap
BØRNS,Other
CADDY,Other
CADMIUM,Other
CAKE,Rock / Alternative
CARYS,Other
CHVRCHES,Pop
CJ,Other
CKay,Other
CRO,Hip Hop / Rap
Cabuizee,EDM / Electronic
Cage The Elephant,Other
Cailin Russo,Other
Cairokee,Pop
Calum Scott,Pop
Calvin Harris,EDM / Electronic
Camila Cabello,Other
Camilla Sun,Other
Camilo,Pop
Candi Staton,Other
Capital Cities,Other
Cardi B,Other
Carl Anderson,Other
Carl Moon,Other
Carl Orff,Other
Carlie Hanson,Other
Carlos Rafael Rivera,Other
Carlos Vives,Pop
Carly Rae Jepsen,Other
Carly Simon,Other
Carmen Twillie,Other
Carnage,Other
Caroline Polachek,Pop
Carrie Underwood,Country
Cartoon,Other
Cascada,Pop
Cassanova,Other
Cassie,Other
Casual Sex,Other
Cat Power,Other
Catfish and the Bottlemen,Rock / Alternative
Cathedrals,Other
Catlea,Other
Cecilia Krull,Other
CeeLo Green,Other
Celeste,Other
Central Cee,Hip Hop / Rap
Chad Brock,Other
Chamillionaire,Hip Hop / Rap
Chance Peña,Other
Chance Thomas,Other
Chance the Rapper,Other
Chappell Roan,Other
Charles & Eddie,Other
Charles Kelley,Country
Charli xcx,Pop
Charlie Peacock and Les Chanteuses,Other
Charlie Puth,Pop
Charlie Walker,Other
Charlotte Lawrence,Other
Charlotte de Witte,EDM / Electronic
Chase Atlantic,Other
Chase Matthew,Country
Chase Rice,Country
Chaël,Other
Cheat Codes,Other
Chelan,Other
Cheyanne,R&B / Soul
Childish Gambino,Other
Chipz,Other
Chloe Adams,Other
Chloe Isabella,Other
Chlöe,Other
Chord Overstreet,Other
Chris Brown,R&B / Soul
Chris Gold,Other
Chris Grey,R&B / Soul
Chris Isaak,Other
Chris Janson,Country
Chris Lane,Country
Chris Stapleton,Country
Chris Wenner,Other
Chris Young,Country
Christian Kennedy,Other
Christian Ray Taylor,Other
Christina Aguilera,Other
Christina Perri,Pop
Christine Slagman,Other
Christophe Beck,Other
Christopher Drake,Other
Christopher Lennertz,Other
Chromeo,Other
Chrystal,Other
Chuck Berry,Rock / Alternative
Ciara,Other
Cigarettes After Sex,Pop
