contamination,n_artists,flagged_fraction,median_pct_positives,precision_at_10,recall_at_25,roc_auc
0.01,470,0.0013,93.2,0.0,0.0,0.907
0.02,470,0.0032,86.2,0.0,0.333,0.866
0.03,470,0.0051,80.6,0.0,0.0,0.822
0.05,470,0.01,79.6,0.0,0.0,0.847
0.08,470,0.0184,74.3,0.0,0.0,0.808
